,0,1,2,Time,Event,hr
0,0.39293838,-0.42772132,-0.5462971,1.5694577,1,-0.49430335
1,0.102629535,0.43893793,-0.15378708,2.4124126,1,0.9487064
2,0.9615284,0.36965948,-0.038136195,1.3144425,1,1.6690483
3,-0.21576497,-0.31364396,0.45809942,9.027914,1,-0.87485194
4,-0.122855514,-0.8806442,-0.20391148,3.294548,1,-1.915943
5,0.4759908,-0.63501656,-0.6490965,6.318302,1,-0.8258413
6,0.063102745,0.063655175,0.26880193,0.856788,1,0.15861404
7,0.69886357,0.44891065,0.22204702,0.5690703,1,1.5648859
8,0.44488677,-0.35408217,-0.27642268,17.0,0,-0.29507664
9,-0.54347354,-0.4125719,0.26195225,17.0,0,-1.4004164
10,-0.8157901,-0.13259766,-0.13827448,1.3444643,1,-1.1127845
11,-0.012629805,-0.14833942,-0.37547755,5.055822,1,-0.3411077
12,-0.14729738,0.78677833,0.88832,9.773775,1,1.3944602
13,0.0036733518,0.24790591,-0.7687632,4.8578258,1,0.46768612
14,-0.36542904,-0.17034757,0.73261833,17.0,0,-0.73792326
15,-0.49908927,-0.03393147,0.9711196,0.10119869,1,-0.59875125
16,0.03897024,0.22578906,-0.7587427,4.1932564,1,0.4587493
17,0.6526816,0.20612025,0.090136014,15.839437,1,1.033123
18,-0.31447232,-0.3917584,-0.16595557,14.555806,1,-1.1297883
19,0.36260152,0.7509137,0.020844676,0.16331208,1,1.8326298
20,0.33862758,0.17187311,0.249807,3.2334006,1,0.65057474
21,0.3493781,0.6846849,-0.83361,6.102122,1,1.6869488
22,0.5273657,-0.51266724,-0.6115541,7.1048646,1,-0.5297679
23,0.14491391,-0.808575,0.77065367,17.0,0,-1.5040351
24,0.25449795,0.44683272,-0.9677416,5.251562,1,1.1163644
25,0.18886375,0.113570385,-0.6820807,1.5901659,1,0.3842055
26,-0.693859,0.39105907,-0.36246714,5.5368967,1,0.056460094
27,0.38394058,0.108766496,-0.22209886,7.1131077,1,0.56967455
28,0.85026497,0.68334,-0.28520486,0.594374,1,2.1851459
29,-0.91281706,-0.39046386,-0.20362863,11.903049,1,-1.7255439
30,0.40991765,0.990717,-0.28817028,3.236606,1,2.3595526
31,0.52509564,0.18635383,0.3834036,4.424883,1,0.8660042
32,-0.6977451,-0.20224741,-0.5182882,17.0,0,-1.1340389
33,-0.31308797,0.026256308,0.3332491,0.3424888,1,-0.2923744
34,-0.78818303,-0.7382101,-0.35603878,17.0,0,-2.2964022
35,0.32312867,0.6930125,0.10651469,1.3030245,1,1.6773546
36,0.708905,-0.23032437,-0.3664242,0.5623962,1,0.21645717
37,-0.29147065,-0.6578363,0.6582253,17.0,0,-1.6389424
38,-0.3226583,0.10474015,0.15710294,3.1188412,1,-0.14497706
39,0.043066118,-0.9946239,0.9766908,17.0,0,-1.9779807
40,0.81068313,-0.5847283,-0.41502118,3.558808,1,-0.39057246
41,0.040020306,0.80382276,0.9672618,0.22143158,1,1.6158668
42,-0.48491588,0.1287181,0.6139374,3.4290793,1,-0.25927874
43,-0.21125989,0.46214607,-0.677862,1.8091612,1,0.6812332
44,0.20139714,0.7317289,0.9670432,1.965684,1,1.6330559
45,-0.8412684,-0.14330545,-0.5909143,10.530427,1,-1.1596783
46,-0.09872702,0.09552714,-0.81334656,4.2342987,1,0.06052822
47,-0.40627846,0.85516846,0.13800746,0.016701395,1,1.2722595
48,-0.085176006,0.507052,0.4837243,1.8562847,1,0.8971289
49,-0.9028419,0.4173948,0.6784867,8.4347925,1,-0.09985141
50,-0.66812426,0.56199586,-0.42692676,1.1566548,1,0.42406848
51,-0.3870605,0.33052292,-0.77721566,7.1418486,1,0.24218631
52,0.3297449,0.77571356,0.39262253,0.54586124,1,1.849373
53,-0.11934425,-0.12357123,0.5301922,14.889859,1,-0.39828578
54,0.131284,-0.8301917,0.16534218,1.2644049,1,-1.5608984
55,0.6296874,-0.32586724,0.85515314,17.0,0,-0.053846113
56,0.501434,0.14812765,0.503288,0.07554924,1,0.76589024
57,-0.8417021,0.71877813,0.64300823,0.7724014,1,0.56405514
58,0.81974334,-0.7427376,-0.83643985,17.0,0,-0.6975309
59,-0.72316885,-0.20124258,-0.15138628,1.4948757,1,-1.1574531
60,0.12443676,-0.7555129,-0.597201,17.0,0,-1.4183881
61,0.6232887,-0.06402485,0.61587644,17.0,0,0.46343994
62,-0.98514724,0.10318545,0.8638643,17.0,0,-0.81057537
63,0.16435091,-0.58780855,0.43551514,17.0,0,-1.0430652
64,-0.2420283,0.33676788,-0.94136053,17.0,0,0.39970845
65,0.27180073,-0.93560416,0.48956132,17.0,0,-1.6312066
66,-0.054173995,-0.7564913,0.08527185,17.0,0,-1.5989556
67,-0.8664511,0.30672973,0.99217266,5.8496065,1,-0.2847907
68,0.5387947,0.14754823,-0.7947295,11.90874,1,0.8020921
69,0.39966816,0.32233572,-0.90180576,0.5852023,1,1.0125406
70,0.5845986,0.03743318,-0.14826462,15.021592,1,0.62766594
71,0.57637435,-0.17686155,-0.03794745,14.773959,1,0.19085218
72,-0.6367423,-0.3573622,0.69106597,17.0,0,-1.3832657
73,-0.6261925,-0.16541788,0.978069,3.5563653,1,-0.9888273
74,-0.5268004,0.83366466,0.8367949,2.9947014,1,1.10873
