,0,1,2,3,4,5,6,7,8,Time,Event,hr
0,0.39293838,-0.42772132,-0.5462971,0.102629535,0.43893793,-0.15378708,0.9615284,0.36965948,-0.038136195,90.0,0,-0.4627818
1,-0.21576497,-0.31364396,0.45809942,-0.122855514,-0.8806442,-0.20391148,0.4759908,-0.63501656,-0.6490965,30.160063,1,-0.8433304
2,0.063102745,0.063655175,0.26880193,0.69886357,0.44891065,0.22204702,0.44488677,-0.35408217,-0.27642268,90.0,0,0.19013558
3,-0.54347354,-0.4125719,0.26195225,-0.8157901,-0.13259766,-0.13827448,-0.012629805,-0.14833942,-0.37547755,90.0,0,-1.3688948
4,-0.14729738,0.78677833,0.88832,0.0036733518,0.24790591,-0.7687632,-0.36542904,-0.17034757,0.73261833,7.9317913,1,1.4259818
5,-0.49908927,-0.03393147,0.9711196,0.03897024,0.22578906,-0.7587427,0.6526816,0.20612025,0.090136014,68.03238,1,-0.56722975
6,-0.31447232,-0.3917584,-0.16595557,0.36260152,0.7509137,0.020844676,0.33862758,0.17187311,0.249807,90.0,0,-1.0982667
7,0.3493781,0.6846849,-0.83361,0.5273657,-0.51266724,-0.6115541,0.14491391,-0.808575,0.77065367,16.675861,1,1.7184703
8,0.25449795,0.44683272,-0.9677416,0.18886375,0.113570385,-0.6820807,-0.693859,0.39105907,-0.36246714,82.26594,1,1.1478859
9,0.38394058,0.108766496,-0.22209886,0.85026497,0.68334,-0.28520486,-0.91281706,-0.39046386,-0.20362863,7.1972837,1,0.60119605
10,0.40991765,0.990717,-0.28817028,0.52509564,0.18635383,0.3834036,-0.6977451,-0.20224741,-0.5182882,2.421752,1,2.3910742
11,-0.31308797,0.026256308,0.3332491,-0.78818303,-0.7382101,-0.35603878,0.32312867,0.6930125,0.10651469,68.2759,1,-0.26085287
12,0.708905,-0.23032437,-0.3664242,-0.29147065,-0.6578363,0.6582253,-0.3226583,0.10474015,0.15710294,89.081764,1,0.2479787
13,0.043066118,-0.9946239,0.9766908,0.81068313,-0.5847283,-0.41502118,0.040020306,0.80382276,0.9672618,90.0,0,-1.9464592
14,-0.48491588,0.1287181,0.6139374,-0.21125989,0.46214607,-0.677862,0.20139714,0.7317289,0.9670432,10.594152,1,-0.22775722
15,-0.8412684,-0.14330545,-0.5909143,-0.09872702,0.09552714,-0.81334656,-0.40627846,0.85516846,0.13800746,65.06414,1,-1.1281568
16,-0.085176006,0.507052,0.4837243,-0.9028419,0.4173948,0.6784867,-0.66812426,0.56199586,-0.42692676,6.294511,1,0.92865044
17,-0.3870605,0.33052292,-0.77721566,0.3297449,0.77571356,0.39262253,-0.11934425,-0.12357123,0.5301922,43.369247,1,0.27370787
18,0.131284,-0.8301917,0.16534218,0.6296874,-0.32586724,0.85515314,0.501434,0.14812765,0.503288,90.0,0,-1.5293769
19,-0.8417021,0.71877813,0.64300823,0.81974334,-0.7427376,-0.83643985,-0.72316885,-0.20124258,-0.15138628,21.440544,1,0.5955767
20,0.12443676,-0.7555129,-0.597201,0.6232887,-0.06402485,0.61587644,-0.98514724,0.10318545,0.8638643,90.0,0,-1.3868666
21,0.16435091,-0.58780855,0.43551514,-0.2420283,0.33676788,-0.94136053,0.27180073,-0.93560416,0.48956132,90.0,0,-1.0115436
22,-0.054173995,-0.7564913,0.08527185,-0.8664511,0.30672973,0.99217266,0.5387947,0.14754823,-0.7947295,90.0,0,-1.5674341
23,0.39966816,0.32233572,-0.90180576,0.5845986,0.03743318,-0.14826462,0.57637435,-0.17686155,-0.03794745,10.346751,1,1.0440621
24,-0.6367423,-0.3573622,0.69106597,-0.6261925,-0.16541788,0.978069,-0.5268004,0.83366466,0.8367949,80.31817,1,-1.3517442
25,-0.8174073,-0.07269455,0.004432671,-0.3726621,-0.90532094,-0.51662874,-0.8089407,-0.5235002,0.61558217,90.0,0,-0.9630739
26,0.78995657,-0.9135542,-0.39610633,0.9611644,0.079009645,0.25261873,-0.9889092,-0.030181114,0.9766571,52.55426,1,-1.0374293
27,-0.24962895,-0.8059237,-0.07618248,0.92600894,-0.31633878,0.5978455,0.59769267,-0.5835034,-0.1132646,90.0,0,-1.8617538
28,0.43120256,-0.17896043,-0.6179861,0.9349886,0.30150074,0.7309197,-0.9495153,-0.46618837,0.0041422006,10.194388,1,0.07300418
29,-0.8651027,0.9860665,-0.52707523,-0.25141564,-0.5719762,-0.7891083,-0.53504044,-0.39877972,0.26888454,29.688007,1,1.1067528
30,-0.43753043,-0.27544647,-0.9881143,-0.26856175,0.067771964,-0.67596835,0.19486621,-0.41369507,0.264101,33.3472,1,-0.9887009
31,-0.9476068,0.7751869,-0.96776277,-0.7460839,0.5543249,-0.90820956,0.4219974,0.9420923,0.7433659,26.552164,1,0.60248953
32,0.4203233,0.9170195,-0.14037332,0.7457578,-0.28808466,0.8595273,-0.7024447,0.88005805,0.6654324,10.060852,1,2.2540848
33,0.6921097,-0.752154,0.1929738,-0.96721506,0.44236875,-0.98452497,-0.83035547,-0.5490032,0.7502491,30.21306,1,-0.8124758
34,-0.27284735,0.07991987,0.13620643,-0.5490733,0.14429353,0.3219036,-0.4035092,-0.16274628,-0.09382215,54.483376,1,-0.11328514
35,0.86470133,0.1749875,0.89650476,0.11206951,0.0011228417,-0.9929356,-0.03822191,0.85491,-0.6032686,7.68751,1,1.2143987
